a,b,c,d,e,f,g,h,label
-1,4,29,4,2,0,2,3,finger4
2,-5,-78,-4,-2,-1,-1,-10,finger4
1,14,35,8,2,1,2,-5,finger4
-6,-14,-25,-3,-1,0,2,-1,finger4
-3,-2,8,2,1,-1,-1,2,finger4
5,-14,-15,-6,-4,-3,-1,-2,finger4
3,-12,21,0,-2,-1,0,0,finger4
0,0,-10,0,-1,0,1,-2,finger4
-12,7,5,-3,-2,-1,0,-4,finger4
3,7,9,5,1,0,1,-1,finger4
0,-18,-5,-3,-3,-2,-1,-1,finger4
6,-4,-17,0,-5,-4,-4,-3,finger4
-8,-25,-29,-10,-4,-3,0,-8,finger4
7,-3,-27,0,-1,1,1,1,finger4
11,22,-25,-9,-1,-1,2,37,finger4
3,9,58,6,4,1,0,12,finger4
0,-12,9,2,0,1,0,0,finger4
2,-6,8,7,1,-1,1,-3,finger4
10,1,11,-2,-1,-1,1,17,finger4
0,-14,-5,-9,-5,-2,0,-5,finger4
12,-19,2,-2,0,0,1,0,finger4
-5,-21,15,-4,-1,0,1,-7,finger4
-16,7,20,-2,-2,-1,-6,-10,finger4
-4,-5,-6,-7,-5,-2,1,80,finger4
-8,-13,0,4,-1,0,7,15,finger4
-27,-1,46,-2,0,-1,-11,-75,finger4
-9,-41,-83,-8,-2,-1,-5,-36,finger4
-26,16,-35,-7,-5,-3,2,39,finger4
-21,-38,8,-14,-6,-6,-6,-12,finger4
9,41,-28,-11,-3,-6,-12,-23,finger4
-2,-10,-22,-2,-3,-3,-4,-6,finger4
0,5,54,3,-2,-1,0,-4,finger4
-10,-7,-28,-1,-3,-2,-1,-3,finger4
-3,-12,-23,-14,-5,-4,-1,21,finger4
-8,-14,27,-2,0,2,3,6,finger4
9,25,30,10,4,1,0,-14,finger4
3,31,22,1,0,0,0,-3,finger4
-1,-19,28,4,0,1,7,103,finger4
0,-11,-51,-3,-2,-4,-3,-23,finger4
-5,-16,-20,-4,0,1,1,-2,finger4
1,0,-17,1,0,-2,-1,-8,finger4
-6,-19,-4,-1,-2,0,0,-18,finger4
-6,-7,13,5,0,1,2,6,finger4
3,6,-7,-7,-1,-1,-1,-6,finger4
2,-2,-21,-5,-3,-2,-1,-2,finger4
16,-6,16,2,1,1,0,-2,finger4
-5,0,14,4,2,3,2,-3,finger4
-6,-23,-53,-17,-4,-2,-2,2,finger4
-2,-6,7,-2,-1,-2,3,15,finger4
-6,-1,19,8,3,1,1,-8,finger4
-15,-12,3,1,-1,-2,-3,-8,finger4
8,9,-2,-1,1,0,1,7,finger4
1,2,-8,-5,-2,-1,-1,1,finger4
-1,-2,5,2,2,0,2,-2,finger4
1,5,-7,1,-1,0,1,9,finger4
1,-13,-17,-2,1,0,1,4,finger4
0,9,-2,-9,-6,-4,-5,-9,finger4
-1,17,-16,-4,2,1,2,5,finger4
11,3,-5,5,3,4,8,-8,finger4
-29,-40,-56,-19,-13,-9,-14,-20,finger4
15,25,71,7,7,7,27,80,finger4
-8,1,-14,-2,-2,-5,-23,-62,finger4
-30,-43,-94,0,-2,-5,-35,-103,finger4
-8,11,15,8,3,0,-2,-31,finger4
-3,-21,22,-3,-2,-1,0,-23,finger4
4,48,2,1,1,-1,3,7,finger4
-3,-29,13,4,1,-1,-1,-7,finger4
-5,-19,-1,-4,-2,-1,0,-1,finger4
