a,b,c,d,e,f,g,h,label
-4,1,-1,0,0,0,2,3,finger1
3,3,3,1,-1,-2,-1,-4,finger1
1,-3,-5,1,-2,-1,0,0,finger1
-2,-4,4,0,0,-1,1,0,finger1
4,-1,-1,2,1,-1,1,3,finger1
2,4,2,4,0,1,2,1,finger1
0,-10,-11,-6,-3,-2,0,-2,finger1
-5,-7,2,1,1,1,0,-13,finger1
-2,1,1,-2,-1,-2,0,1,finger1
0,24,10,0,-3,0,2,1,finger1
1,1,1,-1,1,0,1,1,finger1
5,0,6,3,-1,0,0,-1,finger1
-5,-29,-7,-3,-2,-2,-1,-4,finger1
0,0,4,0,1,-1,0,-11,finger1
-2,-17,-9,-3,0,-2,-1,-12,finger1
6,6,6,5,-2,-1,-1,0,finger1
2,2,0,0,0,0,1,1,finger1
-1,4,2,1,1,0,0,2,finger1
7,2,1,3,0,0,2,2,finger1
-2,10,6,2,0,0,2,3,finger1
1,-3,0,1,-1,-2,0,-3,finger1
3,-1,-2,-1,-2,-2,-1,1,finger1
-6,-3,19,5,0,-1,0,-7,finger1
-10,1,13,0,-1,-2,-3,-8,finger1
-2,-9,-5,3,-2,-4,0,-2,finger1
-4,-5,-11,4,6,7,3,-5,finger1
-35,-33,-26,-9,-14,-22,-17,-27,finger1
-2,11,-15,-8,-4,-5,-4,-3,finger1
16,15,16,8,2,3,1,1,finger1
-2,-6,0,-1,0,0,1,2,finger1
-7,-20,6,1,-1,-2,1,4,finger1
-8,-10,-6,-3,-1,0,0,-6,finger1
-1,-6,-3,-2,-1,-1,0,-1,finger1
0,2,1,-1,-1,-1,0,-2,finger1
5,8,-3,-3,-2,-2,0,9,finger1
2,4,1,1,1,-1,-1,-4,finger1
-2,-6,-2,-1,-1,0,0,-2,finger1
-3,-5,-4,-2,-2,-2,-2,-4,finger1
-6,-3,-6,-3,-2,-1,-1,1,finger1
-1,-11,-4,0,0,-1,1,4,finger1
-5,-22,-9,-6,-3,-2,-2,-8,finger1
4,-13,-2,-5,-3,0,0,-5,finger1
-7,-13,-19,-10,-5,-3,-1,-5,finger1
-1,4,1,0,0,0,2,4,finger1
3,-2,-3,-3,-2,-2,1,1,finger1
-2,3,-1,-1,-1,-1,1,-2,finger1
0,4,-1,-1,-2,-1,0,-6,finger1
3,3,7,3,1,-1,0,1,finger1
5,3,0,2,1,1,0,-16,finger1
-1,-2,0,1,-1,1,1,2,finger1
2,12,6,3,1,0,2,3,finger1
-2,3,3,1,0,1,0,0,finger1
-1,-10,-6,0,-2,-3,-1,-3,finger1
-2,3,-1,-1,1,1,2,-17,finger1
4,6,-4,-1,-1,-2,-1,1,finger1
-10,0,0,1,3,5,6,10,finger1
15,20,18,5,1,3,8,9,finger1
21,20,18,6,8,13,9,3,finger1
-17,-11,-10,-3,-9,-16,-15,-11,finger1
14,11,12,3,7,13,13,13,finger1
2,13,2,1,1,0,-1,-2,finger1
-3,-10,-8,-4,-3,-6,-2,-3,finger1
0,-4,-4,-1,2,3,3,4,finger1
-10,1,-1,-1,-2,-1,-1,-5,finger1
2,-4,-4,-1,-1,-2,2,-1,finger1
-8,-13,-16,-9,-5,-1,0,-6,finger1
-4,3,4,2,1,0,0,-5,finger1
2,-4,-4,-2,-1,0,2,10,finger1
8,9,5,0,-1,-1,0,-6,finger1
5,18,18,6,2,0,1,-2,finger1
-19,0,6,2,1,0,1,-11,finger1
0,2,0,-3,-1,0,3,-9,finger1
-12,-1,5,3,1,0,3,7,finger1
13,-5,-10,-6,-3,-5,-3,-1,finger1
-4,4,3,1,-1,0,-2,-5,finger1
3,-1,2,1,0,1,1,-2,finger1
12,7,10,5,1,1,1,7,finger1
8,4,0,-1,-1,-4,-3,3,finger1
-8,-2,-5,-4,-1,0,-1,-6,finger1
-14,-3,-2,-2,0,-1,1,-4,finger1
-9,-5,0,1,0,-1,1,-4,finger1
8,-1,-4,-4,-2,-3,-4,6,finger1
-3,-2,-5,-2,0,0,1,-6,finger1
-12,-11,-1,-2,-4,-4,-3,-16,finger1
-5,-9,-6,-4,-2,-1,0,-6,finger1
-5,0,-2,1,0,0,0,-1,finger1
-20,-6,7,4,1,1,0,-11,finger1
3,6,2,2,-1,-1,1,2,finger1
3,2,-3,-2,-1,0,0,-1,finger1
-7,-4,-4,-4,0,3,0,-6,finger1
2,2,-4,-7,-10,-8,-1,0,finger1
-13,-7,-7,9,2,2,1,-7,finger1
2,6,4,0,11,18,12,8,finger1
-4,3,-8,-6,-4,-7,-8,-8,finger1
8,10,3,2,2,5,4,16,finger1
0,-4,-7,-4,-2,0,0,-23,finger1
7,4,-7,2,2,5,5,4,finger1
-2,-3,-2,-2,-3,-3,-2,-4,finger1
-4,-5,-3,0,-2,-4,-1,-3,finger1
9,3,6,3,-1,-2,-1,-3,finger1
-9,1,4,1,0,-1,2,9,finger1
2,14,7,1,-2,-2,0,-1,finger1
2,9,-2,0,1,-1,1,2,finger1
-1,-8,-12,-7,-2,-2,-2,-7,finger1
1,-4,-8,-4,-1,-1,-2,-1,finger1
0,-2,-9,-4,-3,0,1,-1,finger1
-7,0,5,1,-2,0,-1,-9,finger1
-6,-3,-1,1,0,1,1,-5,finger1
16,4,3,3,0,0,1,-2,finger1
-7,5,8,3,0,0,2,3,finger1
3,5,-3,-1,-1,-1,1,1,finger1
-2,2,-1,0,1,0,0,0,finger1
-4,-9,-6,-5,-4,-3,0,-3,finger1
2,7,5,3,-1,1,0,-3,finger1
1,-1,-2,-2,-2,0,0,3,finger1
-6,0,0,0,-1,-1,1,1,finger1
5,12,0,-4,-3,-2,-1,11,finger1
5,2,-2,-2,-1,-2,0,-1,finger1
-5,-5,-1,0,0,0,1,-2,finger1
3,6,3,1,0,0,1,0,finger1
1,0,-2,0,-1,1,-1,-4,finger1
9,4,5,2,1,-1,0,0,finger1
-1,9,8,2,0,-1,0,-2,finger1
0,-13,0,-2,-3,-2,-1,-4,finger1
-6,-1,-4,-2,-3,-1,-1,-1,finger1
-9,-6,-4,-3,-1,-3,-3,-6,finger1
7,4,2,-3,-10,-9,-1,4,finger1
5,-7,-6,1,1,-1,-5,0,finger1
-2,13,6,3,-1,2,-2,2,finger1
-7,-22,0,1,-6,-9,-3,-6,finger1
7,4,7,5,2,2,3,4,finger1
-2,-11,5,2,0,-2,0,-7,finger1
-5,-23,-10,-4,-4,-3,-3,-7,finger1
4,-4,-3,0,-1,0,1,14,finger1
-18,-5,-2,-1,-1,-1,0,-8,finger1
1,3,2,0,-2,-2,0,4,finger1
3,6,3,-1,0,-2,0,1,finger1
3,3,-3,-1,0,0,0,-1,finger1
11,-5,-3,-4,-2,-1,-3,12,finger1
2,-2,-8,-5,-1,-1,0,-5,finger1
5,-5,-1,0,-3,-3,0,-1,finger1
-21,-15,-2,0,-2,-2,-1,-10,finger1
2,-4,-3,0,0,0,1,-1,finger1
1,-3,-4,-3,1,0,2,9,finger1
-8,-15,-9,-3,-2,0,0,-1,finger1
-3,8,8,4,1,0,0,-3,finger1
11,19,15,5,1,0,0,1,finger1
-11,0,-4,-2,-2,1,4,-10,finger1
-1,1,5,5,2,0,1,2,finger1
-5,-6,-7,-4,-2,-1,0,-3,finger1
-3,7,2,0,1,0,2,-2,finger1
8,-4,2,0,-1,-2,0,-3,finger1
11,7,6,2,-1,-1,-3,11,finger1
11,1,1,0,-1,1,0,-9,finger1
-11,-2,2,2,-1,0,1,-1,finger1
-2,-3,-2,0,0,-1,0,-2,finger1
-14,-8,0,0,-2,-1,2,-3,finger1
3,-1,-3,-2,-1,-3,1,-2,finger1
5,13,2,2,1,1,0,1,finger1
-4,-5,-5,1,3,5,6,-1,finger1
-5,-5,-6,-8,-4,-5,-5,13,finger1
1,-5,0,-5,3,5,5,-1,finger1
-1,1,2,9,2,5,8,5,finger1
0,-5,2,-1,0,1,0,-2,finger1
2,-1,1,0,2,3,0,-1,finger1
-4,-5,-8,0,-2,-3,-1,-1,finger1
-11,-4,-10,-5,-5,-2,0,-8,finger1
9,3,2,0,0,-1,0,3,finger1
-3,10,8,3,0,-1,0,-2,finger1
0,5,0,0,-2,-1,0,0,finger1
6,-7,-6,-2,-2,-2,0,-5,finger1
4,2,3,0,0,0,0,-1,finger1
-1,3,-5,-2,0,-1,1,3,finger1
0,-11,-3,0,-1,-2,1,0,finger1
-6,-26,-8,-6,-3,-2,-1,8,finger1
1,2,-2,-2,-2,-1,0,-1,finger1
-2,3,3,3,0,0,-1,-1,finger1
3,7,0,-1,-2,-1,1,3,finger1
1,-5,-2,-1,-1,-2,2,-4,finger1
2,11,7,4,1,0,0,-5,finger1
-8,-2,-4,-1,0,-1,1,-2,finger1
4,0,-2,-1,-2,1,-1,-3,finger1
5,-5,-4,-3,-3,-2,0,2,finger1
-4,-7,1,3,-1,0,-1,-2,finger1
-4,-3,-5,-2,-1,-1,1,0,finger1
3,7,0,-3,-1,0,1,4,finger1
23,-1,-2,0,-3,-1,0,-21,finger1
-8,0,-5,-1,0,-2,-1,1,finger1
3,-1,-2,-2,-2,-1,0,-3,finger1
-10,-2,-3,-1,-1,1,-1,-8,finger1
4,-1,-7,-4,-3,-2,-1,-2,finger1
-1,-3,-7,-5,-4,-3,-1,-4,finger1
-1,-3,-9,-4,-4,-2,-2,-11,finger1
-5,-3,-5,7,0,-2,1,3,finger1
7,-4,-11,-1,-2,0,4,2,finger1
-2,-5,37,5,7,8,0,-8,finger1
-10,-6,3,1,-1,-2,1,-6,finger1
0,15,3,-2,4,10,9,-1,finger1
-1,1,-11,4,0,-1,0,-2,finger1
