a,b,c,d,e,f,g,h,label
-12,-3,16,-5,2,2,0,-4,finger3
4,6,-23,-9,-4,-1,0,0,finger3
1,2,10,4,0,-1,1,-2,finger3
-1,1,2,3,1,1,1,1,finger3
3,3,10,4,1,-1,0,2,finger3
-4,8,8,1,1,1,1,-1,finger3
3,3,6,1,0,1,1,1,finger3
2,2,-11,-1,-1,0,1,-1,finger3
4,28,27,12,3,2,2,0,finger3
0,-5,-5,2,0,0,0,-3,finger3
-1,-27,-15,-13,-7,-2,-2,-3,finger3
-4,-9,30,5,-1,-1,0,9,finger3
-3,-7,-6,1,0,1,1,-2,finger3
-5,0,-55,-5,-2,0,0,-5,finger3
6,6,4,-3,-1,0,0,1,finger3
-4,0,23,-2,-2,-1,1,-7,finger3
3,-1,1,-1,-2,-3,0,5,finger3
-1,4,4,1,-1,-1,1,-2,finger3
2,18,-13,-4,-2,0,2,-2,finger3
-7,-28,-6,2,3,0,-2,-4,finger3
-3,-24,-10,-2,-2,-1,-2,0,finger3
9,12,2,-1,-1,-1,5,1,finger3
6,-2,0,-1,0,4,18,9,finger3
-2,4,26,0,-2,-3,0,-6,finger3
-10,-1,-12,-6,-8,-18,-59,-52,finger3
-2,13,-15,0,-2,-3,-7,-10,finger3
-6,36,-5,-7,-7,-15,-41,-8,finger3
1,-7,15,-5,-4,-1,13,-8,finger3
4,11,8,4,1,0,1,5,finger3
0,-12,10,4,-1,1,4,2,finger3
6,27,14,5,2,1,1,2,finger3
-6,-19,-48,-8,-4,-3,-1,-12,finger3
4,-12,3,3,0,0,1,1,finger3
-3,-5,-5,-6,-2,-1,0,6,finger3
3,0,-1,4,-1,-1,-2,3,finger3
6,-16,-9,-5,-3,-1,-2,-14,finger3
-2,7,-13,-3,-2,-1,0,0,finger3
-1,-2,10,1,-2,-1,-2,0,finger3
-8,0,-10,3,1,0,-2,-4,finger3
-7,-3,2,4,4,4,1,-5,finger3
-2,-9,-4,0,0,-3,2,0,finger3
0,5,-5,1,-2,0,-1,-3,finger3
-1,-5,-1,0,0,-1,-1,-12,finger3
-2,-9,-3,-9,-4,-2,-1,-6,finger3
1,-6,-2,3,1,2,-1,-4,finger3
-10,-13,-1,9,5,1,-1,-9,finger3
0,5,11,-3,-3,-1,1,-3,finger3
-1,9,0,1,-1,-2,1,-3,finger3
3,-3,12,3,0,0,1,2,finger3
-6,7,15,2,0,1,0,-2,finger3
6,-3,14,2,1,-2,0,-2,finger3
-1,-6,-7,-2,-2,0,0,-2,finger3
0,1,-6,-1,-1,-2,0,-2,finger3
1,-6,-2,3,1,0,1,-2,finger3
-1,10,-2,3,0,1,0,-1,finger3
-1,-19,-21,-2,-2,-3,0,-3,finger3
5,-6,-1,-1,-1,1,6,1,finger3
-3,-10,-7,2,-1,-5,-12,-11,finger3
-5,8,-3,-6,-8,-16,-45,-16,finger3
4,-17,3,0,0,3,14,5,finger3
-3,-5,-8,-10,-4,1,6,3,finger3
-11,-1,-13,-5,-1,-2,3,-6,finger3
-2,-11,-8,-2,0,3,5,15,finger3
6,2,20,3,3,2,4,0,finger3
2,0,0,1,0,0,-1,-2,finger3
-5,-7,12,-6,-2,-2,-3,13,finger3
4,-4,3,7,2,2,2,0,finger3
-1,9,-2,1,0,1,0,-11,finger3
8,-3,-21,0,0,0,1,5,finger3
10,-1,-4,-3,-3,-1,0,-1,finger3
-9,-2,-5,-2,-2,1,0,-3,finger3
-2,2,8,-1,-1,0,1,-7,finger3
-8,-10,-1,-1,-2,-2,-2,-5,finger3
-5,-6,-4,-5,-3,-1,-1,-6,finger3
21,2,12,6,1,-2,-4,16,finger3
-6,-31,3,-2,-2,0,1,-3,finger3
-5,9,1,0,-1,1,1,-17,finger3
-4,-16,-1,0,0,1,2,2,finger3
-2,-6,6,1,1,0,1,-2,finger3
-1,0,-6,-3,-3,0,-1,0,finger3
3,-4,-6,-5,-3,-3,-3,2,finger3
-2,-8,1,0,0,-1,-1,-1,finger3
2,9,-1,-1,-1,0,1,2,finger3
-3,-7,-2,0,0,1,-1,-3,finger3
1,3,10,1,1,1,2,-3,finger3
-2,-5,2,2,1,-1,1,-1,finger3
-1,6,9,4,1,1,3,0,finger3
4,-2,-2,0,0,0,2,-1,finger3
4,11,2,-5,-2,-2,0,1,finger3
2,2,-1,0,-2,-1,0,3,finger3
-3,-2,5,2,0,-3,-9,-4,finger3
-13,2,-10,-5,-4,-1,-6,-11,finger3
