a,b,c,d,e,f,g,h,label
-3,-1,-13,-8,-3,-1,-1,1,finger5
2,2,-21,-5,-2,-2,0,-4,finger5
1,-2,-16,-6,0,0,1,-2,finger5
0,-2,14,3,0,1,1,0,finger5
-3,-7,17,3,1,0,3,14,finger5
2,11,6,3,0,-1,-4,-4,finger5
-10,18,7,4,1,2,4,-16,finger5
-19,-31,-2,7,1,1,4,7,finger5
-9,7,-34,-3,-3,-2,-3,-6,finger5
-2,11,-17,-3,-3,-2,0,-4,finger5
-5,-20,-11,-2,1,1,0,-2,finger5
-1,19,2,2,0,-2,0,-2,finger5
2,8,12,0,0,1,2,-2,finger5
-3,-3,-3,-2,-1,0,0,-1,finger5
3,-4,7,2,1,0,0,2,finger5
4,0,18,2,1,2,1,16,finger5
3,-6,1,0,-1,1,1,-3,finger5
1,9,-5,-1,-1,1,1,0,finger5
-3,23,-8,1,1,-1,0,-2,finger5
-2,-23,-9,-3,-3,0,0,-3,finger5
-1,4,0,-1,0,0,1,-2,finger5
-2,-15,-13,-6,-3,-2,-1,-4,finger5
0,3,-1,-2,-1,-1,1,-2,finger5
-5,-17,-5,-4,-3,-2,-1,-3,finger5
7,3,-3,-1,0,-2,0,-3,finger5
-1,-14,-8,-3,-3,-1,-1,0,finger5
-2,-16,-3,-2,-3,-2,1,-4,finger5
2,1,0,-3,-2,0,-1,-12,finger5
0,-4,0,4,3,0,0,1,finger5
2,-6,2,1,-1,-2,-1,-3,finger5
-2,-18,-7,-5,-4,-2,0,-2,finger5
0,8,-3,-3,-2,-1,0,-1,finger5
-2,-10,-9,-1,-2,-1,1,-2,finger5
1,15,7,-2,-2,-2,0,-4,finger5
-1,-17,-4,0,-2,-1,0,-4,finger5
-2,1,3,1,-1,0,-1,-3,finger5
0,25,4,2,-1,0,2,0,finger5
-1,-2,-16,-2,0,-2,0,-5,finger5
1,23,36,-1,-3,0,1,-5,finger5
12,21,25,1,0,1,-1,-5,finger5
-4,8,11,-5,-2,-2,1,-3,finger5
-12,-9,5,-4,1,2,-1,-7,finger5
3,14,13,0,-3,-1,-1,2,finger5
2,-4,-34,-6,-4,-4,-4,0,finger5
2,8,20,-1,0,0,1,-4,finger5
-8,-26,-3,-4,-2,-1,-1,0,finger5
4,27,11,1,-1,1,0,0,finger5
0,9,0,-2,0,0,0,-1,finger5
1,-9,4,-1,-1,-1,-1,-1,finger5
2,14,-2,2,0,-1,1,1,finger5
-6,-27,-16,-6,-2,-1,0,-1,finger5
4,-7,8,2,0,0,-1,-2,finger5
-4,1,7,1,-1,-1,1,-3,finger5
-2,3,-10,-4,-3,-2,1,-3,finger5
5,-5,1,1,-1,1,1,4,finger5
2,-4,-19,-1,-1,-1,0,-1,finger5
0,-19,27,3,0,0,1,-2,finger5
5,30,6,4,1,0,1,1,finger5
-4,8,8,4,1,1,1,2,finger5
-1,1,-7,-1,1,-1,0,0,finger5
-2,-3,2,-2,0,-1,-1,-4,finger5
2,3,10,3,1,2,1,-1,finger5
-5,-17,9,-2,0,0,1,-2,finger5
-2,-2,-1,0,0,1,1,0,finger5
1,-4,-27,-2,0,0,-1,-3,finger5
0,-12,-3,2,-1,-1,-1,-4,finger5
-1,-4,-5,-4,-2,-2,0,-1,finger5
-1,1,-4,1,0,1,1,-1,finger5
7,16,6,-1,-2,-1,0,0,finger5
2,37,0,1,-2,1,1,-1,finger5
-4,-8,-4,0,0,0,0,-3,finger5
-5,-10,-18,-2,-2,-1,0,-3,finger5
1,19,19,2,-3,-2,-2,-2,finger5
-1,-22,3,-4,-2,-1,2,-5,finger5
4,14,-5,-1,0,-2,6,-1,finger5
0,-5,30,0,0,0,3,1,finger5
-22,16,-9,2,-1,-3,-16,-14,finger5
-1,-9,-4,2,0,-1,-9,-3,finger5
0,2,6,-2,-2,-2,-1,-3,finger5
-4,2,12,4,0,-1,-1,-2,finger5
2,28,13,4,1,2,2,-1,finger5
2,15,-17,-5,-1,-2,-1,-3,finger5
-13,14,0,3,0,1,0,-7,finger5
2,23,-3,0,-2,-3,0,1,finger5
0,-8,-1,-3,-1,-2,1,13,finger5
1,9,11,0,-1,-1,-1,-2,finger5
6,43,5,0,-1,-1,0,13,finger5
1,5,-17,-1,-1,0,-2,-4,finger5
-5,-23,5,0,-1,1,-1,1,finger5
3,-7,8,1,0,-1,2,12,finger5
1,6,1,0,0,1,1,-3,finger5
0,-12,-10,-1,0,-1,-1,-2,finger5
0,-55,-6,-1,0,0,0,-2,finger5
0,6,-24,-1,-1,-1,0,-4,finger5
-6,-10,-10,-4,-3,-2,-1,-1,finger5
3,-1,-26,0,-1,-1,1,4,finger5
0,0,-8,1,0,-1,0,-3,finger5
2,-11,-6,0,0,-2,0,-6,finger5
-2,15,4,3,0,1,2,-1,finger5
0,-6,7,-4,-2,-1,0,-5,finger5
6,4,7,3,1,0,2,5,finger5
5,33,-2,3,1,0,0,-5,finger5
-1,-5,4,-2,0,-1,0,-1,finger5
0,-8,-12,-2,-1,0,0,-2,finger5
-4,-15,1,0,0,-1,0,1,finger5
2,6,7,-2,-1,1,0,-5,finger5
-2,-19,-40,-1,-4,-3,-4,-16,finger5
-22,-15,-33,-2,-1,1,13,-1,finger5
-9,-6,9,-1,-2,-2,-1,-6,finger5
0,-5,15,-7,-3,-2,3,0,finger5
-1,-10,-7,-6,-1,-1,-1,-4,finger5
-4,-12,1,-4,-3,-2,-1,-4,finger5
2,39,11,-1,-3,-1,0,-3,finger5
0,-3,3,3,1,0,1,0,finger5
-1,-29,-4,-2,-2,0,-1,-3,finger5
8,21,0,0,1,0,1,3,finger5
-1,-2,2,1,-1,0,0,-2,finger5
-3,10,-1,-4,-3,-1,-1,-3,finger5
2,14,-3,-5,-2,-2,0,3,finger5
2,-23,2,0,-1,0,-1,-1,finger5
-1,4,-11,-1,0,-1,0,-1,finger5
0,-7,-7,-1,-2,-3,-1,-4,finger5
2,28,21,-1,-2,0,0,-1,finger5
2,-11,-19,-3,-2,2,1,3,finger5
-3,1,-4,-1,-1,-2,0,-3,finger5
-4,-25,-5,-3,0,-1,0,-2,finger5
0,5,-1,1,-1,-1,1,-2,finger5
3,18,6,2,1,0,1,-3,finger5
-2,3,0,-1,-1,1,0,-4,finger5
1,-3,-9,-3,-1,0,1,-2,finger5
2,-7,-3,0,-1,-1,0,2,finger5
0,19,4,-2,-1,0,0,0,finger5
-4,-20,0,1,0,0,-1,-3,finger5
-1,-1,-6,-4,-2,0,0,-2,finger5
-4,4,1,0,-1,0,0,-2,finger5
2,7,1,1,-1,0,0,13,finger5
0,-30,1,-2,-1,0,-1,-1,finger5
6,6,3,4,0,-1,1,0,finger5
1,-11,2,1,0,2,1,-4,finger5
3,10,8,0,-3,-3,-2,-2,finger5
-7,17,12,3,1,0,0,-8,finger5
14,14,-1,0,0,3,5,5,finger5
-1,-13,-10,-2,-1,-1,2,2,finger5
19,1,8,5,2,3,4,1,finger5
3,22,35,5,1,0,6,8,finger5
-10,-2,2,0,-1,0,1,-1,finger5
-2,32,18,4,0,-1,2,1,finger5
0,-16,-3,2,0,0,0,-2,finger5
0,5,1,2,-1,0,1,2,finger5
4,25,4,1,0,0,2,-2,finger5
4,-21,6,-4,-3,-1,-2,-9,finger5
1,7,0,2,0,0,2,-2,finger5
-2,-7,-4,-1,-2,-1,0,0,finger5
2,18,3,-2,-1,-1,1,-1,finger5
-4,-22,-16,0,-2,0,-1,0,finger5
0,-17,-1,1,2,0,-1,2,finger5
-2,3,-9,1,-1,-1,-1,-6,finger5
0,6,15,-1,-3,-2,-1,-3,finger5
1,-24,2,-1,-2,-1,1,11,finger5
-6,-7,-3,-4,-4,-1,-1,-6,finger5
2,6,1,3,0,1,1,0,finger5
-2,-29,-12,-3,-3,-3,-2,-8,finger5
-2,-18,-4,1,-1,0,-1,-4,finger5
-2,-11,-6,-3,-2,-1,1,1,finger5
3,-5,-2,1,-1,0,1,-5,finger5
2,-1,7,3,0,0,1,0,finger5
-2,-11,-10,-3,-1,-2,-1,-2,finger5
1,1,4,0,1,0,-1,-8,finger5
1,18,12,-1,-2,-2,-1,-1,finger5
8,-6,2,2,1,-2,1,15,finger5
-3,5,2,1,-2,-2,0,-5,finger5
-2,-6,-25,-2,1,0,-1,0,finger5
-5,-12,3,1,-1,1,1,1,finger5
1,14,4,2,-1,0,2,0,finger5
0,23,-10,-3,-3,-1,-1,0,finger5
2,46,-23,-5,-3,1,0,-3,finger5
11,-13,1,6,2,0,6,6,finger5
-3,1,-20,6,3,-1,1,-2,finger5
2,-15,-19,1,-1,1,8,-2,finger5
9,13,-2,4,2,3,4,3,finger5
5,-20,11,1,0,1,1,-3,finger5
1,-15,17,3,-1,0,1,-5,finger5
3,4,13,0,0,0,2,0,finger5
3,-5,10,5,1,-1,2,4,finger5
-1,-4,12,3,2,1,1,-2,finger5
6,29,-3,2,-2,0,0,0,finger5
-3,-3,-18,-16,-4,-2,0,-1,finger5
-4,0,2,5,-1,-1,1,0,finger5
2,15,-14,0,0,0,0,1,finger5
-3,1,19,3,0,0,2,-4,finger5
-7,-45,-7,-5,-2,-3,-2,-14,finger5
-1,-16,14,0,-1,0,-1,1,finger5
4,34,25,8,1,1,1,2,finger5
-3,-19,-13,-4,1,0,1,7,finger5
2,-22,-35,-4,-1,0,0,-3,finger5
1,-16,-24,-5,-1,-2,0,-3,finger5
-1,-17,21,-3,-1,-1,0,0,finger5
0,28,44,3,-1,1,1,-1,finger5
8,6,-12,1,-1,1,2,0,finger5
-7,-21,2,-1,-1,2,3,0,finger5
-6,-6,25,4,0,-1,1,0,finger5
11,-1,-6,-4,-2,-1,-2,-2,finger5
-3,-9,-13,-1,-2,0,1,0,finger5
0,34,-21,-1,0,-2,0,-2,finger5
-4,-26,-47,-5,-1,-1,0,-6,finger5
4,36,1,-1,-1,0,1,0,finger5
5,-38,11,5,1,-1,0,-3,finger5
2,16,14,-1,0,-2,0,1,finger5
4,5,5,2,1,-1,0,-1,finger5
38,-3,3,1,1,1,0,-7,finger5
-2,0,-20,1,-1,-3,-3,-11,finger5
-1,2,44,6,1,3,-2,3,finger5
2,-8,-10,5,2,0,3,9,finger5
19,-21,-18,1,0,-2,-3,-2,finger5
4,-3,40,3,2,1,3,8,finger5
1,-24,1,-3,-4,-3,-3,-3,finger5
-4,2,-27,-3,-3,-2,0,-2,finger5
-3,0,22,0,-1,0,2,0,finger5
1,0,-2,0,1,0,-1,-2,finger5
-1,-2,10,1,-1,0,0,-2,finger5
-1,-6,27,1,-1,-2,0,-2,finger5
3,4,-9,-3,-3,-2,-1,-8,finger5
0,22,-5,0,-2,-2,-1,-5,finger5
2,-18,-5,-1,0,-1,0,-3,finger5
-2,6,-34,-3,-2,0,0,-4,finger5
2,14,-4,0,0,-1,0,-1,finger5
-6,-5,-14,-6,-3,-2,2,-4,finger5
-3,-2,-2,-1,-1,-2,0,-3,finger5
-1,18,18,2,-1,0,0,-2,finger5
1,21,17,0,-1,-2,0,-1,finger5
2,2,0,-2,-2,-1,-2,2,finger5
-2,0,9,1,0,0,1,2,finger5
3,2,2,2,-2,-1,1,2,finger5
-1,-21,6,3,1,0,2,-1,finger5
0,6,-3,-3,-2,-1,-1,-6,finger5
0,2,-25,-2,-1,-1,1,-1,finger5
5,-1,5,3,1,0,2,-1,finger5
0,-15,-3,0,0,0,0,0,finger5
-9,-5,-2,-1,-3,-1,0,-4,finger5
1,34,12,1,-2,-1,1,1,finger5
3,10,11,1,-1,-2,2,12,finger5
-6,-18,-37,-3,-2,-1,-1,-3,finger5
-3,-10,-5,2,0,0,1,4,finger5
-9,1,18,-2,0,-3,0,15,finger5
-10,-15,-6,-4,-2,-3,-2,-14,finger5
8,39,32,3,-2,0,-1,-14,finger5
-5,-5,16,6,3,1,2,-13,finger5
1,0,38,-4,-2,-1,1,7,finger5
4,-18,-21,-3,0,-1,-3,6,finger5
