a,b,c,d,e,f,g,h,label
-3,-5,-13,-4,-1,0,1,-2,rest
0,3,12,4,1,-2,1,-3,rest
-5,-7,5,0,1,2,0,-5,rest
-4,-7,-47,-9,-3,-2,0,-2,rest
3,-7,9,1,-1,-1,-2,-2,rest
2,4,3,-1,-2,-1,1,2,rest
-3,-10,6,-1,-2,-2,1,-2,rest
-2,-13,-3,-1,-1,-1,0,-3,rest
6,1,-21,2,1,0,-1,1,rest
-2,-2,12,2,-1,0,-2,-6,rest
4,4,-9,-3,-2,0,0,-18,rest
2,-12,-17,-7,-3,-3,0,3,rest
-7,0,-18,-1,-1,-2,1,-2,rest
-1,-21,-5,2,2,1,0,-3,rest
4,4,2,0,-2,-1,-1,-1,rest
2,7,-13,0,0,0,2,10,rest
-6,-18,42,-5,-5,-1,1,-3,rest
0,2,-7,-6,-3,-2,-2,-7,rest
-10,0,-17,5,2,0,1,-4,rest
-3,0,13,1,0,0,0,3,rest
2,6,-14,-3,1,1,1,1,rest
-11,2,6,4,-2,-1,1,-7,rest
1,-15,-27,-3,2,-1,-1,-2,rest
-5,11,5,3,0,0,1,0,rest
-3,-3,-1,-3,-2,-2,-1,-1,rest
1,3,7,2,0,2,2,-2,rest
4,4,10,0,-1,-1,-1,-2,rest
6,21,3,1,0,1,2,0,rest
-1,-9,6,-2,-2,0,-1,-1,rest
3,4,13,6,5,0,2,13,rest
3,4,7,3,0,0,1,-2,rest
-5,-11,-6,-2,0,-1,0,-5,rest
1,-2,-20,-2,-2,-2,2,11,rest
2,2,7,1,-1,0,0,-3,rest
3,-1,13,2,-1,0,2,2,rest
-1,-3,-3,0,0,1,1,4,rest
1,-10,-8,-8,-5,-5,-2,-3,rest
3,-1,1,0,-1,-2,0,1,rest
-2,0,-6,0,1,3,2,1,rest
-5,-13,-20,-1,-2,-1,0,-6,rest
3,8,3,1,1,0,0,1,rest
-3,2,16,1,-1,-1,2,-2,rest
5,7,30,-2,-4,-2,0,11,rest
9,19,-4,4,1,3,1,2,rest
1,7,-1,2,2,2,3,-5,rest
-5,-10,0,-1,-2,-1,-1,-5,rest
6,5,-14,-3,-2,-4,0,-3,rest
4,19,1,3,0,1,1,-5,rest
-4,-1,0,-1,-1,1,1,-4,rest
3,3,-1,3,0,1,1,1,rest
-4,-8,-27,-2,-2,-3,0,-6,rest
0,-6,-1,-1,-2,0,0,-3,rest
-1,2,13,1,0,0,1,-5,rest
3,-5,2,0,1,1,0,-3,rest
-15,-1,-14,-3,-3,0,-2,-8,rest
-3,-9,5,1,0,-2,-1,1,rest
7,7,9,4,-1,-1,1,10,rest
-5,-6,-15,-5,-2,0,0,-2,rest
