9,0,-2,-1,-1,-1,-1,0
1,-5,-3,-2,-1,-1,3,-1
-6,0,1,0,-1,0,1,-3
4,3,2,1,0,-1,2,-1
-2,3,0,0,-1,-1,4,0
1,-3,-2,0,0,-1,0,-3
-2,0,-2,-2,-1,0,1,-1
2,-5,-2,-1,-1,-1,2,-4
-5,-12,-5,-2,-1,-2,0,-3
0,1,1,0,-1,-1,0,-1
4,2,-1,-1,0,-1,3,-7
-6,-11,-1,-3,-1,-2,0,-1
-1,2,1,0,-1,-2,3,-5
-12,-2,0,1,0,-1,-1,1
2,2,1,0,-2,0,-5,2
-3,0,-1,-1,-2,0,0,-3
0,1,-1,0,0,0,0,-2
-3,-4,-2,-2,-1,-1,-1,-3
-3,7,1,0,0,0,-1,-5
-12,-1,-2,0,-1,-1,0,-2
-7,2,-1,-1,-1,0,1,-4
-6,0,-4,-3,-1,-2,-1,-7
1,-7,-3,-1,1,-2,0,-1
12,0,-1,-2,1,0,-1,2
9,-1,1,0,0,-1,0,3
-3,-1,2,1,0,0,1,-9
-10,-3,-1,-2,-2,-1,0,-3
0,-3,-1,0,-1,1,1,-5
-9,-4,-1,0,-1,0,0,-3
5,-4,-2,-2,-1,0,2,-4
1,-1,0,-1,-1,-2,1,-3
2,-3,-1,-1,-1,-3,0,-4
-4,0,0,-2,-2,0,1,0
4,-2,-1,-2,-1,-1,-2,15
-1,0,-1,-2,-2,-2,1,0
-5,-5,0,1,-1,-1,-2,-4
13,0,-1,-1,-2,-1,1,-2
-3,2,1,-2,-2,-1,-1,-4
-16,0,-1,-1,-1,1,13,2
-3,-4,-1,1,-1,-1,0,-11
-3,-4,-2,-1,-3,-1,0,4
1,-1,0,0,0,-1,0,0
0,0,-1,0,-1,-1,0,-1
2,1,-1,0,0,-1,0,0
1,-1,-1,-1,-2,-1,2,-5
1,-1,-1,0,0,0,1,-2
2,-1,0,1,0,-1,0,-2
1,0,0,-1,-1,-2,7,-6
1,0,0,-1,-2,-1,1,0
-1,0,-2,-1,-1,1,-1,-1
-9,3,-1,-1,-2,-1,3,-5
-6,-5,-4,-1,0,-3,1,-3
7,2,-1,0,0,1,0,23
5,-3,-1,-1,-1,0,-3,-6
1,-3,-3,-1,-1,0,0,-1
4,0,-1,-1,-2,-1,-5,0
1,-3,-5,-2,-1,-1,-2,-1
0,0,-1,1,0,-1,-1,-2
7,0,0,0,0,0,1,-1
5,-1,1,0,-2,-2,-1,-1
4,-2,0,-1,-1,0,0,2
-1,-4,-1,-2,0,-2,0,-2
0,2,1,0,-2,-1,1,-2
11,-1,-1,1,0,0,1,-4
6,-1,-3,0,0,0,-2,3
-2,3,-1,0,0,0,-9,-4
-12,0,-1,1,0,-1,2,-3
2,-3,-3,-3,-2,-1,1,1
-1,-5,-3,-1,-1,-3,0,-3
2,0,-2,-1,-2,1,-1,1
4,2,1,-1,0,-1,1,-1
2,-1,-1,0,-1,1,1,0
2,3,0,0,0,0,2,1
-6,0,-3,-1,-2,0,0,-3
13,6,2,1,-1,0,2,0
0,-1,-2,0,-1,0,2,0
-1,0,0,0,-2,-1,2,-2
-2,1,2,1,-2,0,11,0
1,1,0,0,-2,-2,-1,1
-1,-3,0,-2,-1,-1,-1,-2
-9,-2,1,-1,-1,-2,-2,-4
1,-2,-2,-1,-2,1,-1,1
-5,-1,1,0,0,-1,-2,-2
3,2,-2,-1,0,-1,5,-2
-4,2,-2,-3,0,-1,-1,0
8,-1,-1,1,0,-1,0,-3
-3,1,1,-2,1,0,1,1
15,1,0,0,-2,-1,-2,-5
2,0,-3,-2,-2,-1,0,1
-3,-3,1,0,-2,0,0,-5
6,0,-1,-1,0,-1,-1,-2
0,-2,-1,-1,-1,-1,1,-1
-3,3,0,-1,0,1,2,-3
2,4,2,0,-1,-1,0,-3
-3,-2,-3,-1,-2,-1,-4,3
-4,2,0,0,-2,-2,-2,5
-1,1,-2,0,0,-1,-1,0
-3,2,-1,-2,-2,0,1,1
-17,-2,-1,0,1,1,-4,-8
-2,-2,-3,-2,0,-1,2,2
3,-2,0,0,0,-1,-11,-10
0,1,0,1,0,0,4,-3
-1,0,0,0,-2,-1,0,-10
3,0,1,0,0,1,0,-9
1,2,0,-1,-2,-2,0,-3
10,-1,0,-2,-2,-1,-3,-3
-1,-1,-2,0,-1,-1,-1,-2
-20,-6,-5,1,-2,-2,-5,5
9,2,0,0,0,-1,3,-2
-1,2,-1,0,-1,-1,-10,-2
7,-2,-3,-2,-1,-2,3,1
0,4,1,-2,-2,-1,1,-4
6,3,0,0,-1,-1,4,9
-2,0,1,1,-1,-1,1,-5
8,-2,-2,-2,0,0,1,-5
-11,2,-2,-1,0,-2,-3,-7
3,2,0,-1,0,0,-1,-4
-6,0,0,1,0,0,0,-4
8,-1,-2,-1,1,0,-1,-2
0,1,-2,0,-2,0,2,-8
1,4,0,0,-1,-2,0,-2
6,0,-1,1,0,0,1,-6
-5,-4,-2,-1,-1,-1,1,-1
-2,1,0,-2,-1,-1,0,-1
-12,-1,0,-2,0,0,-4,0
10,1,0,1,0,-1,1,3
-18,-12,-3,-1,-1,-3,-2,-6
0,-3,-1,-2,-1,0,13,0
-7,-5,-3,-1,-1,-2,-2,-6
8,0,-2,-1,-2,-1,-1,20
-6,0,0,1,-1,-1,0,-8
0,1,-1,0,0,0,-10,-1
-22,-6,-4,-2,-1,-2,2,-11
2,3,0,-2,-2,-1,0,3
16,0,-2,-2,-1,-2,2,-9
15,-6,-3,0,0,1,-3,-10
-11,-1,-2,0,-1,-2,0,2
-9,-1,-3,-2,-1,-2,0,11
-9,-3,-2,0,0,-1,0,-4
-11,-5,2,-1,-1,-2,0,-3
-2,-1,-2,-1,-2,0,1,2
-20,-5,-1,0,0,-1,0,0
2,0,-1,-1,-2,-1,0,3
7,5,1,0,0,-1,0,2
7,-2,-2,0,-1,-2,0,-3
4,3,2,0,0,0,1,7
1,-2,-2,-2,-2,-1,0,-4
18,0,1,1,-1,-2,0,-3
2,-4,0,0,-1,0,2,-1
4,-1,-3,-1,-3,-1,-1,-7
2,-2,0,-1,-1,-1,1,-2
2,0,0,1,-1,0,1,-3
8,-3,-1,-2,-2,-1,0,-3
-4,1,0,0,1,-1,0,-4
-8,-5,-3,-2,-1,0,0,-4
2,0,1,0,-1,-1,-1,1
1,0,-2,0,-1,-1,0,-1
1,3,-1,-1,-2,0,1,5
-11,-1,-1,0,-1,-1,0,-3
1,-2,-2,-1,-1,0,-1,0
-3,1,-1,0,0,-1,-1,14
